region	Africa	-8.78319500 	34.50852200 
region	Asia	34.04786300 	100.61965200 
region	Europe	54.52596300 	15.25511900 
region	North America	51.00000020 	-109.00000000 
region	South America	-21.00021790 	-61.00065650
region	Oceania	-20.077651	155.357369
region	Antarctica	-74.4021625984244	40.78125000000001
country	Antarctica	-74.4021625984244	40.78125000000001
country	Albania	41.15333200 	20.16833100 
country	Austria	47.51623200 	14.55007200 
country	Belgium	50.64028090 	4.66671450 
country	Bulgaria	42.60739750 	25.48566170 
country	Croatia	45.56434420 	17.01189540 
country	Czech Republic	49.81670030 	15.47495440 
country	Denmark	55.67024900 	10.33332830 
country	Estonia	58.75237780 	25.33190780 
country	Finland	63.24677770 	25.92091640 
country	France	46.60335400 	1.88833350 
country	Georgia	41.68097070 	44.02873820 
country	Germany	51.08341960 	10.42344690 
country	Greece	38.99536830 	21.98771320 
country	Hungary	47.18175850 	19.50609370 
country	Ireland	52.86519600 	-7.97945990 
country	Italy	42.63842610 	12.67429700 
country	Kosovo	42.58695780 	20.90212310 
country	Latvia	56.84064940 	24.75376450 
country	Lithuania	55.35000030 	23.74999970 
country	Luxembourg	49.81586830 	6.12967510 
country	Macedonia	41.61712140 	21.71683870 
country	Netherlands	52.22886890 	5.32145030 
country	Norway	60.50002090 	9.09997150 
country	Poland	52.21593300 	19.13442200 
country	Romania	45.98521290 	24.68592250 
country	Russian Federation	59.88893690 	48.51562500 
country	Slovakia	48.74115220 	19.45286460 
country	Slovenia	45.81331130 	14.48083690 
country	Spain	39.32606850 	-4.83797910 
country	Sweden	59.67497120 	14.52085840 
country	Switzerland	46.79856240 	8.23197360 
country	Ukraine	49.48719680 	31.27183210 
country	United Kingdom	54.70235450 	-3.27657530 
country	BurkinaFaso	12.07530830 	-1.68803140 
country	Cameroon	4.61255220 	13.15358110 
country	Congo	-2.98143440 	23.82226360 
country	CotedIvoire	7.98973710 	-5.56794580 
country	Egypt	26.25404930 	29.26754690 
country	Ghana	8.03002840 	-1.08002710 
country	Niger	17.73562140 	9.32384320 
country	Nigeria	9.60003590 	7.99997210 
country	Senegal	14.47506070 	-14.45296120 
country	SouthAfrica	-28.81662360 	24.99163900 
country	Togo	8.78002650 	1.01997650 
country	Uganda	1.53335540 	32.21665780 
